product_category_name,product_category_name_english,product_category_name_fr
beleza_saude,health_beauty,"Health, beauty"
informatica_acessorios,computers_accessories,Ordinateurs & Accessoires
automotivo,auto,auto
cama_mesa_banho,bed_bath_table,bed_bath_table
moveis_decoracao,furniture_decor,mobilier_décor
esporte_lazer,sports_leisure,Sports et loisirs
perfumaria,perfumery,parfumerie
utilidades_domesticas,housewares,articles ménagers
telefonia,telephony,téléphonie
relogios_presentes,watches_gifts,montres_cadeaux
alimentos_bebidas,food_drink,Aliments et boissons
bebes,baby,bébé
papelaria,stationery,de la papeterie
tablets_impressao_imagem,tablets_printing_image,tablettes_impression_image
brinquedos,toys,jouets
telefonia_fixa,fixed_telephony,La téléphonie fixe
ferramentas_jardim,garden_tools,outils de jardinage
fashion_bolsas_e_acessorios,fashion_bags_accessories,mode_sacs_accessoires
eletroportateis,small_appliances,Petits appareils électroménager
consoles_games,consoles_games,consoles_jeux
audio,audio,son
fashion_calcados,fashion_shoes,Chaussures de mode
cool_stuff,cool_stuff,Trucs cools
malas_acessorios,luggage_accessories,bagage_accessoires
climatizacao,air_conditioning,climatisation
construcao_ferramentas_construcao,construction_tools_construction,construction_tools_construction
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,cuisine_salle à manger_buanderie_jardin_meubles
construcao_ferramentas_jardim,costruction_tools_garden,costruction_tools_garden
fashion_roupa_masculina,fashion_male_clothing,fashion_male_clothing
pet_shop,pet_shop,commerce des animaux
moveis_escritorio,office_furniture,les meubles de bureau.
market_place,market_place,le marché
eletronicos,electronics,l'électronique
eletrodomesticos,home_appliances,électroménager
artigos_de_festas,party_supplies,Fournitures de fête
casa_conforto,home_confort,home_confort
construcao_ferramentas_ferramentas,costruction_tools_tools,costruction_tools_tools
agro_industria_e_comercio,agro_industry_and_commerce,agro-industrie et commerce
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,meubles_matelas_et_rembourrage
livros_tecnicos,books_technical,livres_technique
casa_construcao,home_construction,home_construction
instrumentos_musicais,musical_instruments,instruments de musique
moveis_sala,furniture_living_room,salon_meuble_
construcao_ferramentas_iluminacao,construction_tools_lights,construction_tools_lights
industria_comercio_e_negocios,industry_commerce_and_business,industrie_commerce_and_business
alimentos,food,"nourriture, aliment"
artes,art,de l'art
moveis_quarto,furniture_bedroom,meubles_chambre
livros_interesse_geral,books_general_interest,livres_intérêt_général
construcao_ferramentas_seguranca,construction_tools_safety,construction_outils_sécurité
fashion_underwear_e_moda_praia,fashion_underwear_beach,mode_sous-vêtements_plage
fashion_esporte,fashion_sport,mode_sport
sinalizacao_e_seguranca,signaling_and_security,signalisation_et_sécurité
pcs,computers,ordinateurs
artigos_de_natal,christmas_supplies,fournitures_de_noël
fashion_roupa_feminina,fashio_female_clothing,fashio_female_clothing
eletrodomesticos_2,home_appliances_2,home_appliances_2
livros_importados,books_imported,livres_importés
bebidas,drinks,les boissons.
cine_foto,cine_photo,cine_photo
la_cuisine,la_cuisine,La cuisine
musica,music,musique
casa_conforto_2,home_comfort_2,home_comfort_2
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,petit_électroménager_maison_four_et_café
cds_dvds_musicais,cds_dvds_musicals,cds_dvds_musicals
dvds_blu_ray,dvds_blu_ray,dvds_blu_ray
flores,flowers,fleurs
artes_e_artesanato,arts_and_craftmanship,arts_and_craftmanship
fraldas_higiene,diapers_and_hygiene,couches_et_hygiène
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,mode_enfants_vêtements
seguros_e_servicos,security_and_services,security_and_services
,,
